Role,Definition,Duty,Description
Goalkeeper,"The Goalkeeper role is having your keeper’s main focus on making saves from shots and collecting crosses. Essentially your keeper is the last line of defense and is the “traditional” keeper. Despite being traditional, depending on their attributes they can still play key passes and have excellent distribution.",Defend,"There is only one role and that is to stop goals going in. Simple and straightforward, defend the net."
Sweeper Keeper,"This Goalkeeping role is a mixture between being a standard keeper and a Libero in essence. They will clean up balls from out wide or come out far; potentially even outside their box to play as an extra player or to initiate passes and start counter-attacks with direct through balls. A sweeper keeper does not necessarily mean a brilliant distributor – it means that they can come out quickly and clean up balls which then puts them in an advantageous position to restart play, including long clearances.",Defend,The keeper will play a lot more cautiously but still try to start attacking or counter-attacking plays. They do not venture too far out of their box when in possession.
Sweeper Keeper,"This Goalkeeping role is a mixture between being a standard keeper and a Libero in essence. They will clean up balls from out wide or come out far; potentially even outside their box to play as an extra player or to initiate passes and start counter-attacks with direct through balls. A sweeper keeper does not necessarily mean a brilliant distributor – it means that they can come out quickly and clean up balls which then puts them in an advantageous position to restart play, including long clearances.",Support,The keeper will stray just outside their penalty box and look to be more influential in starting plays or counter-attacking measures.
Sweeper Keeper,"This Goalkeeping role is a mixture between being a standard keeper and a Libero in essence. They will clean up balls from out wide or come out far; potentially even outside their box to play as an extra player or to initiate passes and start counter-attacks with direct through balls. A sweeper keeper does not necessarily mean a brilliant distributor – it means that they can come out quickly and clean up balls which then puts them in an advantageous position to restart play, including long clearances.",Attack,A very “brave” keeper who will travel far outside their area and be heavily involved with the ball at their feet.
Wide Centre-Back,"The main job of this role is to stop the opposing attackers from playing and to clear the ball from danger when required. However, unlike standard central defenders - the Wide Centre-Back is encouraged to stay wide in position and support the midfield more like a full back.",Defend,"The player is more like a traditional centre-back in a back five. They will provide support in wide areas at times, but from deep. Less likely to overlap or underlap and more likely to provide a diagonal backwards passing option."
Wide Centre-Back,"The main job of this role is to stop the opposing attackers from playing and to clear the ball from danger when required. However, unlike standard central defenders - the Wide Centre-Back is encouraged to stay wide in position and support the midfield more like a full back.",Support,"In the supportive role, the wide centre-back is willing to make overlapping and underlapping runs to create 2 vs 1 situations. In this essence, they play more of a “fullback” role in supporting the midfield."
Wide Centre-Back,"The main job of this role is to stop the opposing attackers from playing and to clear the ball from danger when required. However, unlike standard central defenders - the Wide Centre-Back is encouraged to stay wide in position and support the midfield more like a full back.",Attack,"With an attack duty, the player is willing to make regular overlapping and underlapping runs to create 2 vs 1 situations, and also has a higher tendency to dribble with the ball."
Central Defender,Main job is to clear the ball from danger when needed to. In certain tactics this includes being good on the feet and maintaining possession.,Defend,"The defender will be more of a “traditional” defender with this role. They will be with their defensive partner(s) in working to break up attacks, preventing the ball from going into the box and marking opposition as a part of your tactic."
Central Defender,Main job is to clear the ball from danger when needed to. In certain tactics this includes being good on the feet and maintaining possession.,Stopper,"The stopper is the defender who will step up a bit more and close down players, marking earlier in the defensive plays."
Central Defender,Main job is to clear the ball from danger when needed to. In certain tactics this includes being good on the feet and maintaining possession.,Cover,"This role will make your defender play more as a sweeper, they will drop back a bit further then your defensive partner(s) and sweep up balls and mark overlapping players (has to be made specific with tactics)."
